Epoch: [1][280/1345], lr: 0.00100	Time 1.439 (1.541)	Data 0.000 (0.056)	Loss 4.0686 (3.9768)	Prec@1 15.625 (14.324)	Prec@5 31.250 (35.487)
Epoch: [1][300/1345], lr: 0.00100	Time 1.563 (1.537)	Data 0.000 (0.052)	Loss 3.7852 (3.9704)	Prec@1 21.875 (14.483)	Prec@5 35.938 (35.694)
Epoch: [1][320/1345], lr: 0.00100	Time 1.438 (1.533)	Data 0.000 (0.049)	Loss 3.9910 (3.9729)	Prec@1 17.188 (14.491)	Prec@5 37.500 (35.616)
Epoch: [1][340/1345], lr: 0.00100	Time 1.485 (1.529)	Data 0.000 (0.046)	Loss 4.1005 (3.9748)	Prec@1 14.062 (14.457)	Prec@5 29.688 (35.585)
Epoch: [1][360/1345], lr: 0.00100	Time 1.504 (1.526)	Data 0.000 (0.044)	Loss 3.9099 (3.9735)	Prec@1 14.062 (14.526)	Prec@5 32.812 (35.604)
Epoch: [1][380/1345], lr: 0.00100	Time 1.459 (1.523)	Data 0.000 (0.041)	Loss 3.8097 (3.9678)	Prec@1 17.188 (14.694)	Prec@5 34.375 (35.806)
Epoch: [1][400/1345], lr: 0.00100	Time 1.477 (1.520)	Data 0.000 (0.039)	Loss 3.8204 (3.9653)	Prec@1 21.875 (14.787)	Prec@5 40.625 (35.848)
Epoch: [1][420/1345], lr: 0.00100	Time 1.495 (1.517)	Data 0.000 (0.038)	Loss 3.8795 (3.9624)	Prec@1 18.750 (14.790)	Prec@5 43.750 (35.967)
Epoch: [1][440/1345], lr: 0.00100	Time 1.502 (1.515)	Data 0.000 (0.036)	Loss 3.8280 (3.9552)	Prec@1 17.188 (14.881)	Prec@5 32.812 (36.143)
Epoch: [1][460/1345], lr: 0.00100	Time 1.416 (1.512)	Data 0.000 (0.034)	Loss 4.1188 (3.9540)	Prec@1 12.500 (14.890)	Prec@5 37.500 (36.134)
Epoch: [1][480/1345], lr: 0.00100	Time 1.498 (1.511)	Data 0.000 (0.033)	Loss 3.8748 (3.9533)	Prec@1 10.938 (14.855)	Prec@5 39.062 (36.136)
Epoch: [1][500/1345], lr: 0.00100	Time 1.482 (1.512)	Data 0.000 (0.032)	Loss 3.9621 (3.9488)	Prec@1 15.625 (14.936)	Prec@5 37.500 (36.224)
Epoch: [1][520/1345], lr: 0.00100	Time 2.186 (1.527)	Data 0.001 (0.030)	Loss 3.6541 (3.9462)	Prec@1 21.875 (14.992)	Prec@5 45.312 (36.288)
Epoch: [1][540/1345], lr: 0.00100	Time 1.644 (1.542)	Data 0.001 (0.029)	Loss 3.8195 (3.9425)	Prec@1 25.000 (15.079)	Prec@5 42.188 (36.342)
Epoch: [1][560/1345], lr: 0.00100	Time 1.424 (1.543)	Data 0.000 (0.028)	Loss 3.6471 (3.9423)	Prec@1 20.312 (15.107)	Prec@5 45.312 (36.358)
Epoch: [1][580/1345], lr: 0.00100	Time 1.415 (1.541)	Data 0.000 (0.027)	Loss 3.7777 (3.9380)	Prec@1 14.062 (15.136)	Prec@5 43.750 (36.467)
Epoch: [1][600/1345], lr: 0.00100	Time 1.590 (1.542)	Data 0.000 (0.026)	Loss 3.8760 (3.9347)	Prec@1 4.688 (15.173)	Prec@5 40.625 (36.582)
