Epoch: [1][940/1345], lr: 0.00100	Time 0.963 (0.952)	Data 0.000 (0.023)	Loss 3.7565 (4.0148)	Prec@1 23.438 (14.180)	Prec@5 40.625 (35.031)
Epoch: [1][960/1345], lr: 0.00100	Time 0.955 (0.951)	Data 0.000 (0.022)	Loss 4.1378 (4.0113)	Prec@1 9.375 (14.212)	Prec@5 34.375 (35.100)
Epoch: [1][980/1345], lr: 0.00100	Time 0.944 (0.951)	Data 0.000 (0.022)	Loss 3.8783 (4.0078)	Prec@1 15.625 (14.238)	Prec@5 39.062 (35.154)
Epoch: [1][1000/1345], lr: 0.00100	Time 0.964 (0.950)	Data 0.000 (0.021)	Loss 3.7525 (4.0042)	Prec@1 20.312 (14.292)	Prec@5 35.938 (35.252)
Epoch: [1][1020/1345], lr: 0.00100	Time 0.984 (0.950)	Data 0.001 (0.021)	Loss 3.6819 (4.0003)	Prec@1 15.625 (14.346)	Prec@5 37.500 (35.345)
Epoch: [1][1040/1345], lr: 0.00100	Time 0.958 (0.949)	Data 0.000 (0.021)	Loss 3.9138 (3.9977)	Prec@1 12.500 (14.387)	Prec@5 42.188 (35.396)
Epoch: [1][1060/1345], lr: 0.00100	Time 0.952 (0.949)	Data 0.000 (0.020)	Loss 3.6245 (3.9956)	Prec@1 21.875 (14.429)	Prec@5 39.062 (35.452)
Epoch: [1][1080/1345], lr: 0.00100	Time 0.990 (0.948)	Data 0.000 (0.020)	Loss 3.7414 (3.9915)	Prec@1 20.312 (14.495)	Prec@5 32.812 (35.537)
Epoch: [1][1100/1345], lr: 0.00100	Time 0.917 (0.948)	Data 0.000 (0.019)	Loss 3.6913 (3.9892)	Prec@1 21.875 (14.561)	Prec@5 37.500 (35.578)
Epoch: [1][1120/1345], lr: 0.00100	Time 0.969 (0.947)	Data 0.000 (0.019)	Loss 4.1092 (3.9858)	Prec@1 15.625 (14.619)	Prec@5 34.375 (35.660)
Epoch: [1][1140/1345], lr: 0.00100	Time 0.954 (0.947)	Data 0.000 (0.019)	Loss 4.0304 (3.9837)	Prec@1 12.500 (14.657)	Prec@5 35.938 (35.710)
Epoch: [1][1160/1345], lr: 0.00100	Time 0.895 (0.946)	Data 0.000 (0.018)	Loss 3.5515 (3.9806)	Prec@1 20.312 (14.719)	Prec@5 40.625 (35.775)
Epoch: [1][1180/1345], lr: 0.00100	Time 0.962 (0.946)	Data 0.000 (0.018)	Loss 3.6559 (3.9790)	Prec@1 20.312 (14.756)	Prec@5 43.750 (35.799)
Epoch: [1][1200/1345], lr: 0.00100	Time 0.966 (0.945)	Data 0.000 (0.018)	Loss 3.7665 (3.9775)	Prec@1 7.812 (14.761)	Prec@5 40.625 (35.820)
Epoch: [1][1220/1345], lr: 0.00100	Time 0.888 (0.945)	Data 0.000 (0.018)	Loss 4.1583 (3.9741)	Prec@1 14.062 (14.805)	Prec@5 31.250 (35.898)
Epoch: [1][1240/1345], lr: 0.00100	Time 1.040 (0.945)	Data 0.000 (0.017)	Loss 3.8610 (3.9726)	Prec@1 10.938 (14.836)	Prec@5 40.625 (35.927)
